Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Hotel,Large,245.6,,0,,0,,1998,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"19,720",0,0%,0,,19.0,0.0
Commercial Building,Office,Large,83.0,Top Quartile,78,Top Quartile,80,Top Quartile,1960,,,"15,091","9,500",63%,0,Others,0.0,0.0
Commercial Building,Retail,Small,151.69,,0,,0,,1984,,,"11,608",0,0%,0,,14.0,0.0
Commercial Building,Hotel,,238.0,3rd Quartile,230,3rd Quartile,215,2nd Quartile,1982,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"40,883","37,160",91%,440,Water Cooled Chilled Water Plant,1.0,0.558
Commercial Building,Retail,Large,103.59,,0,,0,,1999,GoldPlus,Existing Building for Non-Residential buildings (version 3),"1,70,288",0,0%,0,,1.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2013,GoldPlus,New Building for Non-Residential buildings (version 4),"23,379","14,451",62%,0,Water Cooled Chilled Water Plant,10.0,0.65
Commercial Building,Hotel,Large,164.66,,0,,0,,1971,Gold,Existing Building for Non-Residential buildings (version 3),"23,554",0,0%,0,,3.0,0.0
Commercial Building,Hotel,Small,246.83,,0,,0,,2012,GoldPlus,Existing Building for Non-Residential buildings (version 3),"8,922",0,0%,0,,4.0,0.0
Sports & Recreation Centre,Recreation Club,,228.0,,206,,176,,1988,,,"12,948","4,050",31%,0,Water Cooled Chilled Water Plant,12.0,0.0
Commercial Building,Office,Large,175.83,,0,,0,,1985,Gold,Existing Building for Non-Residential buildings (version 3),"17,034",0,0%,0,,4.0,0.0
Commercial Building,Hotel,,265.0,3rd Quartile,281,Bottom Quartile,309,Bottom Quartile,2012,Platinum,New Building for Non-Residential buildings (version 3),"29,811","22,438",75%,367,Water Cooled Chilled Water Plant,11.0,0.646
Commercial Building,Office,,0.0,,0,,0,,2012,Platinum,Existing Building for Non-Residential buildings (version 3),"1,51,777","1,47,045",97%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,,322.0,Bottom Quartile,318,Bottom Quartile,344,Bottom Quartile,2012,Gold,Existing Non-Residential Buildings (RECERT 2017),"14,304","13,715",96%,382,Others,0.0,0.95
Commercial Building,Office,Large,175.0,3rd Quartile,162,3rd Quartile,173,3rd Quartile,2009,Platinum,Existing Non-Residential Buildings (RECERT 2017),"35,657","32,771",92%,0,Water Cooled Chilled Water Plant,12.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,142.0,,135,,144,,2005,Gold,Existing Non-Residental Buildings ENRB: 2017,"5,584",0,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,53.6,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"20,613",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,350.0,2nd Quartile,364,2nd Quartile,446,3rd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 2.1),"27,715","26,329",95%,0,Water Cooled Chilled Water Plant,12.0,0.652
Commercial Building,Office,Small,282.8,,0,,0,,1983,Platinum,New Building for Non-Residential buildings (version 3),"12,893",0,0%,0,,7.0,0.0
Commercial Building,Office,Large,85.0,,79,,74,,2003,Gold,Existing Non-Residential Buildings (RECERT 2017),"19,225","19,225",100%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,125.4,,0,,0,,2002,Platinum,Existing Non-Residental Buildings ENRB: 2017,"41,840",0,0%,0,,4.0,0.0
Commercial Building,Mixed Development,,220.0,3rd Quartile,230,3rd Quartile,235,3rd Quartile,1973,,,"12,100","12,775",106%,0,Others,0.0,0.0
Commercial Building,Office,Large,143.0,2nd Quartile,134,2nd Quartile,145,2nd Quartile,2012,Platinum,Existing Non-Residental Buildings ENRB: 2017,"27,542","16,190",59%,0,Water Cooled Chilled Water Plant,11.0,0.636
Commercial Building,Hotel,,265.0,3rd Quartile,285,Bottom Quartile,326,Bottom Quartile,1971,Gold,Existing Non-Residential Buildings (RECERT 2017),"79,709","67,101",84%,792,Water Cooled Chilled Water Plant,25.0,0.7
Commercial Building,Retail,Medium,102.0,Top Quartile,101,Top Quartile,90,Top Quartile,1984,,,"4,305","2,310",54%,0,Others,0.0,0.0
Commercial Building,Office,Small,118.82,,0,,0,,2002,,,"6,359",0,0%,0,,2.0,0.0
Commercial Building,Retail,Large,601.44,,0,,0,,2014,Gold,New Building for Non-Residential buildings (version 4.1),"26,371",0,0%,0,,5.0,0.0
Commercial Building,Mixed Development,,345.0,Bottom Quartile,352,Bottom Quartile,345,Bottom Quartile,1985,,,"24,639","23,238",94%,0,Water Cooled Chilled Water Plant,13.0,0.97
"Civic, Community & Cultural Institution",Cultural Institution,,314.0,,292,,188,,2010,Platinum,Existing Building for Non-Residential buildings (version 3),"20,940","19,384",93%,0,Air Cooled Chilled Water Plant,0.0,1.21
Commercial Building,Office,Large,185.0,3rd Quartile,175,3rd Quartile,161,3rd Quartile,1997,,,"37,923","30,003",79%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,323.82,,0,,0,,2015,,,"10,803",0,0%,0,,10.0,0.0
Commercial Building,Retail,Large,442.79,,0,,0,,1999,Platinum,Existing Building for Non-Residential buildings (version 2.1),"58,450",0,0%,0,,8.0,0.0
"Civic, Community & Cultural Institution",Cultural Institution,,164.0,,185,,193,,2014,,,"13,869","10,000",72%,0,Water Cooled Chilled Water Plant,4.0,0.0
Commercial Building,Hotel,Large,169.19,,0,,0,,1986,GoldPlus,Existing Building for Non-Residential buildings (version 3),"54,042",0,0%,0,,0.0,0.0
Commercial Building,Retail,Large,443.0,3rd Quartile,459,3rd Quartile,453,3rd Quartile,1999,Gold,GM:2021 In Operation,"58,450","53,733",92%,0,Water Cooled Chilled Water Plant,10.0,0.661
Healthcare Facility,Community Hospital/ Nursing Home,,92.0,,90,,88,,2016,,,"9,520","1,900",20%,0,Others,0.0,0.0
Sports & Recreation Centre,Sports Complex,,198.0,,227,,232,,2008,Gold,Existing Non-Residental Buildings ENRB: 2017,"13,691","1,962",14%,0,Others,0.0,0.0
Commercial Building,Office,Large,126.45,,0,,0,,1999,Platinum,Existing Building for Non-Residential buildings (version 3),"19,765",0,0%,0,,4.0,0.0
Commercial Building,Hotel,Large,822.63,,0,,0,,1985,Gold,Existing Building for Non-Residential buildings (version 3),"5,809",0,0%,0,,0.0,0.0
Commercial Building,Industrial,Large,271.0,Bottom Quartile,299,Bottom Quartile,315,Bottom Quartile,1998,Gold,GM:2021 In Operation,"33,322","11,653",35%,0,Others,0.0,0.2154
Commercial Building,Office,,0.0,,0,,0,,1983,Platinum,Existing Non-Residental Buildings ENRB: 2017,"12,176","5,383",44%,0,Others,0.0,0.58
Commercial Building,Office,Medium,167.0,3rd Quartile,131,2nd Quartile,140,2nd Quartile,2007,,,"9,374",604,6%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Large,53.0,Top Quartile,57,Top Quartile,63,Top Quartile,2014,,,"1,19,287","6,882",6%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,197.0,,204,,210,,2008,,,"1,20,383","86,950",72%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Small,62.69,,0,,0,,2019,GoldPlus,Existing Building for Non-Residential buildings (version 3),"13,855",0,0%,0,,7.0,0.0
Commercial Building,Office,Large,106.0,Top Quartile,103,Top Quartile,106,Top Quartile,1985,,,"16,815",0,0%,0,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Hotel,,308.0,Bottom Quartile,317,Bottom Quartile,330,Bottom Quartile,1983,GoldPlus,Existing Building for Non-Residential buildings (version 3),"19,301","11,520",60%,393,Water Cooled Chilled Water Plant,4.0,0.603
Commercial Building,Retail,Medium,343.0,3rd Quartile,393,3rd Quartile,316,2nd Quartile,2013,,,"5,103","4,500",88%,0,Water Cooled Chilled Water Plant,6.0,0.8
Commercial Building,Office,Large,216.86,,0,,0,,2001,Platinum,Existing Building for Non-Residential buildings (version 3),"1,06,793",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,165.0,3rd Quartile,163,3rd Quartile,166,2nd Quartile,1992,Certified,Existing Non-Residental Buildings ENRB: 2017,"7,816",0,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,492.73,,0,,0,,2014,Platinum,New Building for Non-Residential buildings (version 4.1),"40,880",0,0%,0,,6.0,0.0
Commercial Building,Hotel,,222.0,3rd Quartile,242,3rd Quartile,284,3rd Quartile,1994,Certified,Existing Non-Residental Buildings ENRB: 2017,"35,243","34,020",97%,259,Water Cooled Chilled Water Plant,9.0,0.0
Commercial Building,Office,Large,99.25,,0,,0,,1994,Platinum,Existing Building for Non-Residential buildings (version 3),"28,421",0,0%,0,,3.0,0.0
Healthcare Facility,Hospital,,392.0,,416,,407,,1993,,,"42,243","42,243",100%,0,Water Cooled Chilled Water Plant,11.0,0.0
Healthcare Facility,Polyclinic/ Private Clinic,,218.0,,213,,204,,1999,,,"18,809","15,000",80%,0,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Retail,Large,142.0,Top Quartile,153,Top Quartile,154,Top Quartile,1983,,,"33,781","24,602",73%,0,Water Cooled Chilled Water Plant,16.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,131.0,,129,,138,,2013,Platinum,Existing Non-Residential Buildings (RECERT 2017),"27,065","20,238",75%,0,Water Cooled Chilled Water Plant,10.0,0.65
Commercial Building,Retail,Large,532.99,,0,,0,,1992,Gold,New Building for Non-Residential buildings (version 4.1),"34,970",0,0%,0,,10.0,0.0
Commercial Building,Office,Small,117.47,,0,,0,,1984,,,"11,950",0,0%,0,,36.0,0.0
Commercial Building,Retail,Large,186.65,,0,,0,,2016,,,"19,970",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,109.0,Top Quartile,107,Top Quartile,113,Top Quartile,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"24,389","19,990",82%,0,Water Cooled Chilled Water Plant,10.0,0.575
Commercial Building,Office,Small,45.21,,0,,0,,2009,,,"6,691",0,0%,0,,15.0,0.0
Commercial Building,Hotel,Small,124.61,,0,,0,,2020,,,317,0,0%,0,,5.0,0.0
Commercial Building,Office,Medium,130.0,2nd Quartile,161,3rd Quartile,182,2nd Quartile,1999,,,"10,416","8,436",81%,0,Water Cooled Chilled Water Plant,6.0,0.653
Commercial Building,Office,Medium,92.0,Top Quartile,84,Top Quartile,79,Top Quartile,2006,,,"11,390","5,900",52%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,122.0,,102,,98,,1999,,,"2,10,427","5,59,390",266%,0,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Retail,Large,312.0,2nd Quartile,332,2nd Quartile,349,2nd Quartile,2013,Platinum,Existing Non-Residential Buildings (RECERT 2017),"1,08,169","94,786",88%,0,Water Cooled Chilled Water Plant,9.0,0.55
Commercial Building,Office,Small,114.68,,0,,0,,2009,GoldPlus,New Building (version 1),"14,647",0,0%,0,,8.0,0.0
Commercial Building,Hotel,Small,441.85,,0,,0,,2017,GoldPlus,New Building for Non-Residential buildings (version 4.1),"8,657",0,0%,0,,3.0,0.0
Sports & Recreation Centre,Recreation Club,,281.0,,334,,353,,1993,Platinum,Existing Building for Non-Residential buildings (version 3),"12,595","4,334",34%,0,Air Cooled Chilled Water Plant,0.0,0.88
Commercial Building,Retail,Large,126.64,,0,,0,,1990,,,"79,471",0,0%,0,,19.0,0.0
Commercial Building,Office,Small,195.91,,0,,0,,2006,,,"14,337",0,0%,0,,12.0,0.0
Commercial Building,Retail,Large,292.0,2nd Quartile,276,2nd Quartile,301,2nd Quartile,1982,GoldPlus,Existing Building for Non-Residential buildings (version 3),"40,749","38,547",95%,0,Water Cooled Chilled Water Plant,8.0,0.62
Commercial Building,Industrial,Large,351.0,Bottom Quartile,307,Bottom Quartile,289,Bottom Quartile,1997,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"37,000","3,700",10%,0,Water Cooled Chilled Water Plant,2.0,0.0
Commercial Building,Office,Medium,5.0,Top Quartile,9,Top Quartile,11,Top Quartile,1976,Certified,Existing Non-Residental Buildings ENRB: 2017,"14,486","10,888",75%,0,Water Cooled Chilled Water Plant,6.0,0.67
Healthcare Facility,Specialist Clinic,,476.0,,481,,478,,2013,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"75,311","51,860",69%,0,Water Cooled Chilled Water Plant,9.0,0.68
Commercial Building,Office,Medium,53.0,Top Quartile,55,Top Quartile,69,Top Quartile,1979,,,"6,421","5,821",91%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Hotel,,293.0,Bottom Quartile,293,Bottom Quartile,279,3rd Quartile,2011,,,"24,313","8,397",35%,428,Others,0.0,0.0
Commercial Building,Hotel,,173.0,Top Quartile,180,Top Quartile,195,Top Quartile,2013,Platinum,New Building for Non-Residential buildings (version 3),"7,221","4,747",66%,221,Water Cooled Chilled Water Plant,10.0,0.55
Commercial Building,Office,Medium,284.0,Bottom Quartile,277,Bottom Quartile,344,Bottom Quartile,2000,,,"8,725",100,1%,0,Others,0.0,0.0
Commercial Building,Office,Large,128.76,,0,,0,,1997,Gold,Existing Building for Non-Residential buildings (version 2.1),"30,915",0,0%,0,,20.0,0.0
Commercial Building,Retail,Large,399.37,,0,,0,,1994,,,"24,000",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,217.27,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"1,87,345",0,0%,0,,7.0,0.0
Sports & Recreation Centre,Recreation Club,,266.0,,289,,313,,2014,,,"16,902","14,728",87%,0,Others,0.0,0.0
Commercial Building,Office,Large,151.0,2nd Quartile,153,2nd Quartile,158,2nd Quartile,1975,GoldPlus,Existing Building (version 2),"71,214","70,000",98%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Office,Small,1508.82,,0,,0,,1997,,,"8,905",0,0%,0,,23.0,0.0
Commercial Building,Hotel,Omit,179.68,,0,,0,,1970,Gold,Existing Building for Non-Residential buildings (version 2.1),"1,27,860",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,168.17,,0,,0,,2003,,,"33,846",0,0%,0,,14.0,0.0
Commercial Building,Office,Large,123.0,Top Quartile,121,Top Quartile,116,Top Quartile,1998,Certified,Existing Non-Residential Buildings (RECERT 2017),"23,229","14,631",63%,0,Air Cooled Chilled Water Plant,0.0,0.882
Healthcare Facility,Community Hospital/ Nursing Home,,143.0,,129,,134,,2015,,,"8,652","1,225",14%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,11.0,,12,,13,,1993,,,"8,13,841","34,800",4%,75,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Small,1221.88,,0,,0,,1997,,,"11,816",0,0%,0,,23.0,0.0
Commercial Building,Retail,Medium,304.0,3rd Quartile,316,2nd Quartile,292,2nd Quartile,1988,,,"6,154","4,315",70%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Small,215.92,,0,,0,,1980,,,"5,411",0,0%,0,,33.0,0.0
Healthcare Facility,Hospital,,361.0,,358,,349,,2012,Platinum,New Building for Non-Residential buildings (version 3),"72,334","70,000",97%,333,Water Cooled Chilled Water Plant,10.0,0.0
Commercial Building,Hotel,,159.0,Top Quartile,163,Top Quartile,100,Top Quartile,1971,Platinum,Existing Non-Residental Buildings ENRB: 2017,"84,404","70,830",84%,677,Water Cooled Chilled Water Plant,22.0,0.0
Commercial Building,Retail,Medium,420.0,3rd Quartile,476,3rd Quartile,483,Bottom Quartile,2016,,,"5,535","3,000",54%,0,Others,0.0,0.0
Commercial Building,Office,Omit,303.68,,0,,0,,2006,Gold,New Building (version 1),"48,424",0,0%,0,,7.0,0.0
Commercial Building,Retail,Large,332.0,2nd Quartile,346,2nd Quartile,369,3rd Quartile,1998,Gold,Existing Non-Residential Buildings (RECERT 2017),"70,347","46,162",66%,0,Water Cooled Chilled Water Plant,17.0,0.673
Commercial Building,Mixed Development,,199.0,2nd Quartile,115,Top Quartile,162,Top Quartile,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"37,285","33,399",90%,0,Water Cooled Chilled Water Plant,13.0,0.55
Educational Institution,Univerisity,,123.0,,130,,185,,2016,,,"23,328","14,41,453",6179%,0,Water Cooled Chilled Water Plant,6.0,0.607
Commercial Building,Hotel,Large,212.79,,0,,0,,1987,,,"59,329",0,0%,0,,15.0,0.0
Commercial Building,Office,Large,165.0,,141,,144,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"27,076","22,004",81%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,Omit,224.06,,0,,0,,1993,,,"16,872",0,0%,0,,9.0,0.0
Commercial Building,Retail,Omit,348.83,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"48,234",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,138.0,2nd Quartile,142,2nd Quartile,142,2nd Quartile,1959,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"22,974","10,038",44%,0,Water Cooled Chilled Water Plant,3.0,0.0
Commercial Building,Office,Large,296.75,,0,,0,,1999,Platinum,Existing Non-Residental Buildings ENRB: 2017,"36,280",0,0%,0,,21.0,0.0
Commercial Building,Mixed Development,,139.0,Top Quartile,143,Top Quartile,144,Top Quartile,1984,Gold,Existing Building for Non-Residential buildings (version 3),"25,724","23,153",90%,0,Water Cooled Chilled Water Plant,5.0,0.6304
Commercial Building,Office,,0.0,,0,,0,,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"15,141","13,134",87%,0,District Cooling System (DCS),0.0,0.05
Commercial Building,Office,Medium,147.0,3rd Quartile,154,3rd Quartile,164,2nd Quartile,1998,,,"14,708","14,362",98%,0,Water Cooled Chilled Water Plant,40.0,0.0
Commercial Building,Office,Large,120.44,,0,,0,,1985,Certified,Existing Building for Non-Residential buildings (version 2.1),"16,122",0,0%,0,,7.0,0.0
Commercial Building,Hotel,Small,172.75,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"7,221",0,0%,0,,7.0,0.0
Commercial Building,Office,Large,290.5,,0,,0,,2009,,,"21,167",0,0%,0,,9.0,0.0
Commercial Building,Hotel,Small,217.25,,0,,0,,2006,,,"8,651",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,224.0,Bottom Quartile,213,Bottom Quartile,208,Bottom Quartile,1980,Platinum,Existing Non-Residental Buildings ENRB: 2017,"47,740","44,136",92%,0,Water Cooled Chilled Water Plant,13.0,0.0
Healthcare Facility,Polyclinic/ Private Clinic,,152.0,,151,,141,,1997,,,"5,434","2,200",40%,0,Others,0.0,0.0
Commercial Building,Retail,Large,114.91,,0,,0,,1999,,,"29,796",0,0%,0,,7.0,0.0
Commercial Building,Office,Small,120.24,,0,,0,,2011,Legislated,,"2,601",0,0%,0,,9.0,0.0
Commercial Building,Hotel,Large,264.74,,0,,0,,1972,Gold,Existing Building for Non-Residential buildings (version 3),"79,709",0,0%,0,,20.0,0.0
Commercial Building,Industrial,Large,349.0,Bottom Quartile,398,Bottom Quartile,435,Bottom Quartile,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,651","21,106",93%,0,Water Cooled Chilled Water Plant,13.0,0.64
Commercial Building,Office,Large,147.99,,0,,0,,2014,Platinum,New Building for Non-Residential buildings (version 4),"68,839",0,0%,0,,5.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,123.0,,125,,130,,2017,,,"7,528","1,138",15%,0,Others,0.0,0.0
Commercial Building,Office,Medium,169.0,3rd Quartile,171,3rd Quartile,176,2nd Quartile,2015,,,"14,998","11,858",79%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,377.76,,0,,0,,2017,Legislated,,"14,284",0,0%,0,,1.0,0.0
Educational Institution,Private School,,66.0,,60,,69,,2006,,GM:2021 In Operation,"77,641","7,778",100%,0,Others,0.0,0.0
Commercial Building,Hotel,,200.0,2nd Quartile,221,3rd Quartile,244,3rd Quartile,1993,,,"42,009","36,000",86%,454,Water Cooled Chilled Water Plant,10.0,0.73
Commercial Building,Hotel,Small,213.44,,0,,0,,2014,,,"6,962",0,0%,0,,7.0,0.0
Commercial Building,Office,Large,127.09,,0,,0,,1984,Platinum,Existing Building for Non-Residential buildings (version 3),"66,408",0,0%,0,,6.0,0.0
Commercial Building,Hotel,Large,161.23,,0,,0,,1985,GoldPlus,Existing Building for Non-Residential buildings (version 3),"31,033",0,0%,0,,15.0,0.0
Educational Institution,Univerisity,,167.0,,174,,180,,2014,GoldPlus,GM:2021 In Operation,"1,00,637","54,191",54%,0,Water Cooled Chilled Water Plant,7.0,0.65
Commercial Building,Office,Medium,125.0,2nd Quartile,113,Top Quartile,118,2nd Quartile,2001,,,"10,700","9,095",85%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,20.0,,25,,31,,1997,,,"8,735",850,10%,3,Others,0.0,0.0
Commercial Building,Office,Medium,103.0,Top Quartile,104,Top Quartile,109,2nd Quartile,1985,,,"6,268","4,765",76%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,120.0,Top Quartile,118,Top Quartile,120,Top Quartile,1995,Platinum,GM:2021 In Operation,"23,575","19,806",84%,0,Water Cooled Chilled Water Plant,9.0,0.61
Commercial Building,Retail,Medium,250.0,2nd Quartile,268,2nd Quartile,331,2nd Quartile,2015,Platinum,New Building for Non-Residential buildings (version 4.1),"7,564","6,564",87%,0,Water Cooled Chilled Water Plant,7.0,119.0
Commercial Building,Office,Large,199.0,3rd Quartile,192,3rd Quartile,203,3rd Quartile,1986,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"79,650","74,816",94%,0,Water Cooled Chilled Water Plant,11.0,0.69
Commercial Building,Office,Small,95.91,,0,,0,,1973,,,"7,428",0,0%,0,,8.0,0.0
Commercial Building,Retail,Small,249.76,,0,,0,,2016,Platinum,New Building for Non-Residential buildings (version 4.1),"7,564",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,159.77,,0,,0,,1975,GoldPlus,Existing Building for Non-Residential buildings (version 3),"31,296",0,0%,0,,1.0,0.0
Commercial Building,Hotel,,201.0,2nd Quartile,206,2nd Quartile,199,Top Quartile,1982,Gold,Existing Building for Non-Residential buildings (version 3),"58,999","54,035",92%,403,Water Cooled Chilled Water Plant,0.0,0.68
Commercial Building,Office,Large,152.17,,0,,0,,1976,,,"17,884",0,0%,0,,5.0,0.0
Commercial Building,Hotel,Small,192.91,,0,,0,,1986,Gold,Existing Building for Non-Residential buildings (version 3),"12,565",0,0%,0,,11.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1986,,,"44,934","41,000",91%,0,Water Cooled Chilled Water Plant,15.0,0.75
Commercial Building,Retail,Large,390.0,3rd Quartile,368,2nd Quartile,371,3rd Quartile,2008,,,"20,713","17,617",85%,0,Water Cooled Chilled Water Plant,14.0,0.0
Commercial Building,Office,Medium,101.0,Top Quartile,102,Top Quartile,104,Top Quartile,1998,Platinum,Existing Non-Residential Buildings (RECERT 2017),"9,882","5,739",58%,0,Water Cooled Chilled Water Plant,4.0,0.89
Commercial Building,Office,Large,291.0,Bottom Quartile,299,Bottom Quartile,299,Bottom Quartile,2014,Platinum,New Building for Non-Residential buildings (version 3),"33,123","26,327",79%,0,Water Cooled Chilled Water Plant,5.0,0.578
Commercial Building,Office,Small,654.72,,0,,0,,1997,,,"8,060",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,76.0,Top Quartile,210,Bottom Quartile,215,Bottom Quartile,2002,,,"53,581","42,866",80%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,139.98,,0,,0,,1976,GoldPlus,Existing Building for Non-Residential buildings (version 3),"1,03,899",0,0%,0,,3.0,0.0
Commercial Building,Office,Small,125.61,,0,,0,,1985,Platinum,New Building for Non-Residential buildings (version 4.1),"7,669",0,0%,0,,4.0,0.0
Educational Institution,Univerisity,,78.0,,77,,74,,2014,Platinum,New Building for Non-Residential buildings (version 4),"11,670","6,113",52%,0,Water Cooled Chilled Water Plant,9.0,0.57
Commercial Building,Hotel,,378.0,Bottom Quartile,363,Bottom Quartile,381,Bottom Quartile,2017,,,"14,284","12,367",87%,225,Water Cooled Chilled Water Plant,7.0,0.682
Commercial Building,Office,Large,133.86,,0,,0,,1983,,,"28,100",0,0%,0,,15.0,0.0
Commercial Building,Retail,Large,190.0,2nd Quartile,192,Top Quartile,189,2nd Quartile,1982,Platinum,Existing Building for Non-Residential buildings (version 3),"25,347","24,535",97%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Mixed Development,Large,288.81,,0,,0,,1998,GoldPlus,Existing Building for Non-Residential buildings (version 3),"52,095",0,0%,0,,4.0,0.0
Commercial Building,Office,Large,87.14,,0,,0,,2005,,,"34,622",0,0%,0,,12.0,0.0
Commercial Building,Office,Medium,0.0,,53,Top Quartile,206,2nd Quartile,2021,,,"13,032","8,650",66%,0,Water Cooled Chilled Water Plant,1.0,0.656
Commercial Building,Office,Large,89.71,,0,,0,,2014,Gold,New Building for Non-Residential buildings (version 4),"18,365",0,0%,0,,5.0,0.0
Commercial Building,Hotel,,100.0,Top Quartile,87,Top Quartile,73,Top Quartile,2014,,,"13,578","12,000",88%,442,Water Cooled Chilled Water Plant,8.0,0.0
Commercial Building,Office,Large,124.0,,118,,116,,1990,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"13,207","10,564",80%,0,District Cooling System (DCS),0.0,0.59
Commercial Building,Retail,Small,889.99,,0,,0,,2012,,,"9,821",0,0%,0,,5.0,0.0
Commercial Building,Office,Large,319.11,,0,,0,,2001,Platinum,Existing Non-Residental Buildings ENRB: 2017,"99,091",0,0%,0,,16.0,0.0
Commercial Building,Mixed Development,,203.0,3rd Quartile,209,2nd Quartile,209,2nd Quartile,1974,GoldPlus,Existing Building for Non-Residential buildings (version 3),"17,592","14,909",85%,0,Water Cooled Chilled Water Plant,5.0,0.613
Commercial Building,Office,Small,151.96,,0,,0,,2010,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"14,671",0,0%,0,,3.0,0.0
Commercial Building,Retail,Medium,380.0,3rd Quartile,350,3rd Quartile,374,3rd Quartile,1972,,,"7,403","7,200",97%,0,Water-Cooled Package Units,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,31.0,,33,,35,,1964,,,"1,584",623,39%,0,Others,0.0,0.0
Commercial Building,Office,Large,299.0,,283,,299,,2008,Platinum,Existing Building for Non-Residential buildings (version 3),"38,774","34,511",89%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,196.0,,132,,132,,2012,GoldPlus,New Building for Non-Residential buildings (version 3),"72,782",0,0%,251,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Small,138.59,,0,,0,,1986,,,"10,926",0,0%,0,,30.0,0.0
Commercial Building,Office,Small,262.95,,0,,0,,2009,,,"7,783",0,0%,0,,10.0,0.0
Sports & Recreation Centre,Recreation Club,,205.0,,199,,213,,1994,,,"24,410","12,795",52%,0,Water Cooled Chilled Water Plant,2.0,0.65
Commercial Building,Office,Large,82.0,Top Quartile,81,Top Quartile,81,Top Quartile,2019,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"19,403","4,910",25%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,99.84,,0,,0,,2014,,,"13,572",0,0%,0,,5.0,0.0
